date,BTC,Gold
2015-06-04,224.32400513,1174.90002441
2015-06-05,224.95199585,1167.80004883
2015-06-06,225.61900330,
2015-06-07,222.88099670,
2015-06-08,228.48899841,1173.19995117
2015-06-09,229.04800415,1177.30004883
2015-06-10,228.80299377,1186.09997559
2015-06-11,229.70500183,1179.90002441
2015-06-12,229.98199463,1178.80004883
2015-06-13,232.40199280,
2015-06-14,233.54299927,
2015-06-15,236.82299805,1185.30004883
2015-06-16,250.89500427,1180.50000000
2015-06-17,249.28399658,1176.40002441
2015-06-18,249.00700378,1201.50000000
2015-06-19,244.60600281,1201.50000000
2015-06-20,245.21200562,
2015-06-21,243.94400024,
2015-06-22,246.99000549,1183.69995117
2015-06-23,244.29600525,1176.19995117
2015-06-24,240.51499939,1172.59997559
2015-06-25,242.79899597,1171.50000000
2015-06-26,243.59399414,1172.90002441
2015-06-27,250.99000549,
2015-06-28,249.01100159,
2015-06-29,257.06399536,1178.50000000
2015-06-30,263.07199097,1171.50000000
2015-07-01,258.62100220,1169.00000000
2015-07-02,255.41200256,1163.00000000
2015-07-03,256.33599854,
2015-07-04,260.88598633,
2015-07-05,271.91299438,
2015-07-06,269.02999878,1172.90002441
2015-07-07,266.20700073,1152.40002441
2015-07-08,270.78500366,1163.30004883
2015-07-09,269.22799683,1159.00000000
2015-07-10,284.89401245,1157.69995117
2015-07-11,293.11499023,
2015-07-12,310.86700439,
2015-07-13,292.05398560,1155.19995117
2015-07-14,287.46398926,1153.30004883
2015-07-15,285.82901001,1147.19995117
2015-07-16,278.08898926,1143.80004883
2015-07-17,279.47198486,1131.80004883
2015-07-18,274.90100098,
2015-07-19,273.61401367,
2015-07-20,278.98098755,1106.69995117
2015-07-21,275.83300781,1103.40002441
2015-07-22,277.22198486,1091.40002441
2015-07-23,276.04901123,1094.00000000
2015-07-24,288.27801514,1085.59997559
2015-07-25,288.69699097,
2015-07-26,292.68600464,
2015-07-27,293.62399292,1096.50000000
2015-07-28,294.42700195,1096.30004883
2015-07-29,289.58999634,1092.69995117
2015-07-30,287.72198486,1088.40002441
2015-07-31,284.64999390,1094.90002441
2015-08-01,281.60101318,
2015-08-02,282.61401367,
2015-08-03,281.22698975,1089.40002441
2015-08-04,285.21798706,1090.69995117
2015-08-05,281.88198853,1085.69995117
2015-08-06,278.57699585,1090.19995117
2015-08-07,279.58499146,1094.09997559
2015-08-08,260.99700928,
2015-08-09,265.08300781,
2015-08-10,264.47000122,1104.19995117
2015-08-11,270.38598633,1107.59997559
2015-08-12,266.37600708,1123.19995117
2015-08-13,264.07998657,1115.69995117
2015-08-14,265.67999268,1112.90002441
2015-08-15,261.55099487,
2015-08-16,258.50698853,
2015-08-17,257.97601318,1118.59997559
2015-08-18,211.07899475,1117.09997559
2015-08-19,226.68400574,1128.09997559
2015-08-20,235.35000610,1153.00000000
2015-08-21,232.56900024,1159.59997559
2015-08-22,230.38999939,
2015-08-23,228.16900635,
2015-08-24,210.49499512,1153.40002441
2015-08-25,221.60899353,1138.19995117
2015-08-26,225.83099365,1124.59997559
2015-08-27,224.76899719,1122.40002441
2015-08-28,231.39599609,1133.09997559
2015-08-29,229.77999878,
2015-08-30,228.76100159,
2015-08-31,230.05599976,1131.59997559
2015-09-01,228.12100220,1138.69995117
2015-09-02,229.28399658,1132.50000000
2015-09-03,227.18299866,1123.69995117
2015-09-04,230.29800415,1120.59997559
2015-09-05,235.01899719,
2015-09-06,239.83999634,
2015-09-07,239.84700012,
2015-09-08,243.60699463,1120.40002441
2015-09-09,238.16799927,1102.19995117
2015-09-10,238.47700500,1109.50000000
2015-09-11,240.10699463,1103.50000000
2015-09-12,235.22900391,
2015-09-13,230.51199341,
2015-09-14,230.64399719,1107.69995117
2015-09-15,230.30400085,1102.80004883
2015-09-16,229.09100342,1119.19995117
2015-09-17,229.80999756,1117.30004883
2015-09-18,232.97500610,1138.09997559
2015-09-19,231.49299622,
2015-09-20,231.21200562,
2015-09-21,227.08500671,1133.09997559
2015-09-22,230.61799622,1125.00000000
2015-09-23,230.28300476,1131.59997559
2015-09-24,234.52900696,1153.80004883
2015-09-25,235.14399719,1146.00000000
2015-09-26,234.33999634,
2015-09-27,232.75700378,
2015-09-28,239.14199829,1132.00000000
2015-09-29,236.68699646,1127.09997559
2015-09-30,236.05999756,1115.50000000
2015-10-01,237.54899597,1114.19995117
2015-10-02,237.29299927,1137.09997559
2015-10-03,238.72999573,
2015-10-04,238.25900269,
2015-10-05,240.38299561,1138.09997559
2015-10-06,246.06300354,1146.80004883
2015-10-07,242.96899414,1149.00000000
2015-10-08,242.30400085,1144.69995117
2015-10-09,243.93099976,1156.30004883
2015-10-10,244.94099426,
2015-10-11,247.05000305,
2015-10-12,245.30799866,1164.90002441
2015-10-13,249.50799561,1165.80004883
2015-10-14,251.98899841,1180.09997559
2015-10-15,254.32000732,1187.90002441
2015-10-16,262.86898804,1183.59997559
2015-10-17,270.64001465,
2015-10-18,261.64300537,
2015-10-19,263.43701172,1173.30004883
2015-10-20,269.46301270,1178.00000000
2015-10-21,266.27200317,1167.59997559
2015-10-22,274.02301025,1166.59997559
2015-10-23,276.49600220,1163.30004883
2015-10-24,281.65399170,
2015-10-25,283.67999268,
2015-10-26,285.29998779,1167.00000000
2015-10-27,293.78799438,1166.80004883
2015-10-28,304.61801147,1177.09997559
2015-10-29,313.85501099,1147.19995117
2015-10-30,328.01501465,1141.50000000
2015-10-31,314.16598511,
2015-11-01,325.43099976,
2015-11-02,361.18899536,1135.80004883
2015-11-03,403.41699219,1114.19995117
2015-11-04,411.56298828,1106.50000000
2015-11-05,386.35400391,1104.40002441
2015-11-06,374.47000122,1087.59997559
2015-11-07,386.48199463,
2015-11-08,373.36801147,
2015-11-09,380.25698853,1087.90002441
2015-11-10,336.81900024,1088.19995117
2015-11-11,311.08401489,1084.69995117
2015-11-12,338.15200806,1080.80004883
2015-11-13,336.75299072,1080.80004883
2015-11-14,332.90600586,
2015-11-15,320.16598511,
2015-11-16,330.75100708,1083.69995117
2015-11-17,335.09399414,1068.69995117
2015-11-18,334.58999634,1068.80004883
2015-11-19,326.14898682,1078.00000000
2015-11-20,322.02200317,1076.40002441
2015-11-21,326.92700195,
2015-11-22,324.53601074,
2015-11-23,323.04598999,1066.80004883
2015-11-24,320.04598999,1074.30004883
2015-11-25,328.20599365,1070.50000000
2015-11-26,352.68399048,
2015-11-27,358.04199219,1056.19995117
2015-11-28,357.38101196,
2015-11-29,371.29400635,
2015-11-30,377.32101440,1065.80004883
2015-12-01,362.48800659,1063.80004883
2015-12-02,359.18701172,1054.19995117
2015-12-03,361.04598999,1061.69995117
2015-12-04,363.18301392,1084.50000000
2015-12-05,388.94900513,
2015-12-06,388.78298950,
2015-12-07,395.53601074,1076.40002441
2015-12-08,415.56298828,1076.30004883
2015-12-09,417.56298828,1077.59997559
2015-12-10,415.47900391,1073.09997559
2015-12-11,451.93798828,1076.90002441
2015-12-12,434.99700928,
2015-12-13,433.75500488,
2015-12-14,444.18200684,1064.69995117
2015-12-15,465.32101440,1062.90002441
2015-12-16,454.93399048,1078.00000000
2015-12-17,456.07800293,1050.80004883
2015-12-18,463.61599731,1066.19995117
2015-12-19,462.32199097,
2015-12-20,442.68499756,
2015-12-21,438.63900757,1081.90002441
2015-12-22,436.57199097,1074.80004883
2015-12-23,442.40100098,1069.40002441
2015-12-24,454.98498535,1077.19995117
2015-12-25,455.65301514,
2015-12-26,417.27398682,
2015-12-27,422.82299805,
2015-12-28,422.27899170,1070.50000000
2015-12-29,432.98300171,1077.50000000
2015-12-30,426.61999512,1060.09997559
2015-12-31,430.56698608,1060.30004883
2016-01-01,434.33401489,
2016-01-02,433.43798828,
2016-01-03,430.01098633,
2016-01-04,433.09100342,1075.09997559
2016-01-05,431.95999146,1078.40002441
2016-01-06,429.10501099,1091.90002441
2016-01-07,458.04800415,1107.69995117
2016-01-08,453.23001099,1097.80004883
2016-01-09,447.61099243,
2016-01-10,447.99099731,
